class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat
p,f,s,n,f,y,f,c,n,b,t,?,375,k,s,p,p,p,w,26,o,e,w,v,l
e,x,y,n,t,n,f,c,b,p,t,b,12,s,s,g,g,p,w,48,o,p,k,y,d
e,x,f,n,t,n,f,c,b,u,t,b,127,s,s,w,g,p,w,58,o,p,k,y,d
e,x,y,y,t,l,f,c,b,p,e,r,11,s,y,w,w,p,w,23,o,p,n,s,g
e,k,s,n,f,n,f,c,b,w,e,b,282,y,y,n,n,p,w,49,t,p,w,y,d
e,f,s,y,t,a,f,w,n,p,t,b,40,s,s,w,w,p,w,40,o,p,n,v,d
p,f,s,g,t,f,f,c,b,w,t,b,104,f,s,w,w,p,w,62,o,p,h,v,g
e,k,s,n,f,n,a,c,b,y,e,?,9,s,s,o,o,p,n,23,o,p,y,v,l
p,x,f,g,f,f,f,c,b,h,e,b,472,k,k,p,b,p,w,26,o,l,h,y,d
e,x,f,y,t,a,f,w,n,w,t,b,174,s,s,w,w,p,w,23,o,p,u,v,d
e,x,s,w,f,n,f,w,b,n,t,e,388,s,s,w,w,p,w,24,o,e,n,s,g
p,x,y,n,f,f,f,c,n,b,t,?,283,k,k,w,p,p,w,73,o,e,w,v,l
p,x,y,y,f,f,f,c,b,h,e,b,84,k,k,n,n,p,w,34,o,l,h,y,d
p,k,s,e,f,y,f,c,n,b,t,?,199,k,k,p,w,p,w,26,o,e,w,v,d
p,f,f,y,f,f,f,c,b,g,e,b,372,k,k,n,b,p,w,37,o,l,h,y,d
e,f,y,e,t,n,f,c,b,p,t,b,139,s,s,w,g,p,w,23,o,p,k,y,d
p,f,f,g,f,f,f,c,b,g,e,b,111,k,k,p,p,p,w,27,o,l,h,v,g
p,f,s,g,t,f,f,c,b,w,t,b,186,f,f,w,w,p,w,23,o,p,h,v,u
e,f,s,n,f,n,f,w,b,n,t,e,366,f,f,w,w,p,w,24,o,e,n,a,g
p,f,f,y,f,f,f,c,b,p,e,b,249,k,k,p,n,p,w,23,o,l,h,y,p
e,f,y,n,t,n,f,c,b,p,t,b,95,s,s,g,w,p,w,24,o,p,n,v,d
p,f,y,n,f,f,f,c,n,b,t,?,90,s,s,p,p,p,w,57,o,e,w,v,l
e,x,y,w,t,a,f,c,b,k,e,c,159,s,s,w,w,p,w,25,o,p,k,n,m
e,b,y,y,t,a,f,c,b,n,e,c,12,s,s,w,w,p,w,30,o,p,n,s,m
e,k,s,p,t,n,f,c,b,e,e,?,74,s,s,w,w,p,w,46,t,e,w,c,w
p,x,y,y,f,f,f,c,b,p,e,b,181,k,k,n,b,p,w,24,o,l,h,v,g
p,f,s,n,f,s,f,c,n,b,t,?,39,s,s,p,p,p,w,47,o,e,w,v,l
e,f,f,g,f,n,f,w,b,p,t,e,78,s,f,w,w,p,w,24,o,e,k,s,g
p,f,y,y,f,f,f,c,b,g,e,b,165,k,k,b,n,p,w,23,o,l,h,y,d
p,x,f,g,f,f,f,c,b,g,e,b,7,k,k,n,n,p,w,22,o,l,h,y,d
p,f,y,e,f,f,f,c,n,b,t,?,302,k,s,w,p,p,w,78,o,e,w,v,l
e,f,y,n,t,n,f,c,b,p,t,b,394,s,s,w,w,p,w,54,o,p,n,v,d
p,k,s,e,f,y,f,c,n,b,t,?,321,k,k,w,w,p,w,23,o,e,w,v,d
p,x,y,g,f,f,f,c,b,p,e,b,201,k,k,n,p,p,w,23,o,l,h,v,g
p,k,s,e,f,f,f,c,n,b,t,?,103,k,s,p,w,p,w,25,o,e,w,v,l
e,f,y,e,t,n,f,c,b,w,t,b,23,s,s,w,p,p,w,32,o,p,k,v,d
e,f,f,w,f,n,f,w,b,k,t,e,218,f,f,w,w,p,w,23,o,e,k,s,g
p,f,s,w,t,f,f,c,b,w,t,b,124,f,s,w,w,p,w,36,o,p,h,s,g
e,f,s,w,f,n,f,w,b,n,t,e,93,s,s,w,w,p,w,24,o,e,n,s,g
e,x,s,g,t,n,f,c,b,w,e,b,641,s,s,w,w,p,w,32,t,p,w,v,p
p,x,s,g,t,f,f,c,b,w,t,b,2,f,s,w,w,p,w,46,o,p,h,s,g
p,x,s,n,t,p,f,c,n,p,e,e,6,s,s,w,w,p,w,27,o,p,k,v,g
p,f,y,g,f,f,f,c,b,g,e,b,101,k,k,n,n,p,w,23,o,l,h,y,p
e,x,s,w,f,n,f,w,b,n,t,e,296,s,s,w,w,p,w,40,o,e,k,s,g
e,f,f,e,t,n,f,c,b,u,t,b,238,s,s,g,w,p,w,39,o,p,n,y,d
e,k,f,w,f,n,f,w,b,w,e,?,360,s,k,w,w,p,w,26,t,p,w,s,g
e,f,f,n,t,n,f,c,b,p,t,b,285,s,s,g,p,p,w,23,o,p,n,v,d
e,f,f,g,f,n,f,w,b,h,t,e,6,s,f,w,w,p,w,68,o,e,k,s,g
e,f,y,e,t,n,f,c,b,w,t,b,8,s,s,g,w,p,w,76,o,p,k,y,d
e,f,f,g,t,n,f,c,b,u,t,b,282,s,s,g,p,p,w,30,o,p,n,y,d
e,x,s,w,t,a,f,c,b,g,e,c,2,s,s,w,w,p,w,25,o,p,n,s,g
e,f,f,n,f,n,f,w,b,k,t,e,138,f,s,w,w,p,w,23,o,e,n,a,g
e,f,f,g,t,n,f,c,b,u,t,b,109,s,s,g,p,p,w,39,o,p,n,v,d
e,x,s,y,t,l,f,c,b,k,e,c,242,s,s,w,w,p,w,22,o,p,n,s,m
p,f,y,g,f,f,f,c,b,p,e,b,593,k,k,p,b,p,w,39,o,l,h,y,g
e,f,f,g,t,n,f,c,b,n,t,b,90,s,s,w,w,p,w,23,o,p,k,v,d
p,k,y,n,f,f,f,c,n,b,t,?,503,s,s,p,p,p,w,32,o,e,w,v,d
p,x,y,e,f,s,f,c,n,b,t,?,173,k,s,p,w,p,w,27,o,e,w,v,d
e,k,f,g,f,n,f,w,b,g,e,?,488,k,k,w,w,p,w,56,t,p,w,n,g
p,x,f,g,f,f,f,c,b,p,e,b,106,k,k,p,n,p,w,23,o,l,h,v,d
p,x,s,g,f,c,f,c,n,g,e,b,112,s,s,w,w,p,w,23,o,p,k,s,d
p,f,y,y,f,f,f,c,b,h,e,b,189,k,k,b,p,p,w,36,o,l,h,v,g
p,f,f,y,f,f,f,c,b,h,e,b,5,k,k,p,p,p,w,23,o,l,h,y,g
p,k,y,e,f,f,f,c,n,b,t,?,19,k,k,w,p,p,w,47,o,e,w,v,l
e,x,s,n,f,n,f,w,b,k,t,e,274,f,s,w,w,p,w,71,o,e,k,s,g
p,x,y,n,f,y,f,c,n,b,t,?,39,k,s,w,w,p,w,48,o,e,w,v,p
e,x,s,g,f,n,f,w,b,p,t,e,57,f,f,w,w,p,w,23,o,e,n,s,g
e,f,f,n,t,n,f,c,b,n,t,b,19,s,s,w,w,p,w,52,o,p,n,y,d
p,k,s,n,f,f,f,c,n,b,t,?,71,k,k,w,p,p,w,39,o,e,w,v,p
e,b,s,g,f,n,f,w,b,p,e,?,641,s,s,w,w,p,w,44,t,p,w,n,g
p,f,s,n,f,y,f,c,n,b,t,?,330,k,k,w,p,p,w,25,o,e,w,v,p
p,f,f,y,f,f,f,c,b,p,e,b,382,k,k,n,n,p,w,35,o,l,h,v,d
p,x,s,g,f,c,f,c,n,g,e,b,328,s,s,w,w,p,w,24,o,p,n,s,d
p,x,y,n,f,y,f,c,n,b,t,?,90,k,k,w,w,p,w,52,o,e,w,v,d
e,f,f,n,t,n,f,c,b,w,t,b,6,s,s,p,g,p,w,45,o,p,k,y,d
p,x,f,g,f,f,f,c,b,h,e,b,334,k,k,p,p,p,w,23,o,l,h,y,p
p,x,s,n,f,f,f,c,n,b,t,?,251,s,k,p,p,p,w,42,o,e,w,v,p
e,f,f,w,f,n,f,w,b,h,t,e,162,s,s,w,w,p,w,25,o,e,n,s,g
p,f,y,g,f,f,f,c,b,p,e,b,166,k,k,b,n,p,w,25,o,l,h,v,d
p,f,f,g,f,f,f,c,b,g,e,b,70,k,k,n,b,p,w,37,o,l,h,v,p
e,x,f,w,f,n,f,w,b,n,t,e,386,s,f,w,w,p,w,26,o,e,n,a,g
p,f,s,e,f,s,f,c,n,b,t,?,411,k,k,w,w,p,w,23,o,e,w,v,d
e,x,s,w,f,n,f,w,b,w,e,?,730,k,s,w,w,p,w,34,t,p,w,n,g
p,x,y,e,f,y,f,c,n,b,t,?,64,k,k,p,p,p,w,37,o,e,w,v,d
e,f,f,g,t,n,f,c,b,p,t,b,453,s,s,p,g,p,w,40,o,p,k,y,d
p,f,s,w,t,p,f,c,n,n,e,e,3500,s,s,w,w,p,w,40,o,p,n,v,g
e,x,s,e,t,n,f,c,b,e,e,?,190,s,s,w,w,p,w,23,t,e,w,c,w
e,x,f,g,f,n,f,w,b,h,t,e,95,f,s,w,w,p,w,25,o,e,n,a,g
p,f,f,y,f,f,f,c,b,p,e,b,166,k,k,p,n,p,w,23,o,l,h,y,d
e,f,f,n,t,n,f,c,b,p,t,b,28,s,s,p,p,p,w,23,o,p,k,v,d
e,f,f,e,t,n,f,c,b,w,t,b,348,s,s,g,g,p,w,35,o,p,n,y,d
p,x,f,g,f,f,f,c,b,h,e,b,179,k,k,n,n,p,w,44,o,l,h,y,p
e,f,y,n,t,a,f,c,b,p,e,r,127,s,y,w,w,p,w,75,o,p,k,y,p
e,f,f,g,f,n,f,w,b,h,t,e,154,s,f,w,w,p,w,28,o,e,n,s,g
e,x,y,y,t,l,f,c,b,g,e,c,103,s,s,w,w,p,w,23,o,p,k,n,g
p,k,s,n,f,f,f,c,n,b,t,?,90,k,k,w,w,p,w,23,o,e,w,v,l
e,b,s,w,f,n,f,w,b,w,e,?,7,s,k,w,w,p,w,28,t,p,w,n,g
p,f,s,n,t,p,f,c,n,p,e,e,8,s,s,w,w,p,w,44,o,p,k,v,u
p,x,y,y,f,f,f,c,b,h,e,b,344,k,k,n,b,p,w,23,o,l,h,v,p
p,f,y,g,f,f,f,c,b,h,e,b,366,k,k,n,p,p,w,57,o,l,h,v,g
e,b,s,n,f,n,a,c,b,n,e,?,259,s,s,o,o,p,n,23,o,p,b,c,l
e,f,f,y,t,l,f,w,n,w,t,b,99,s,s,w,w,p,w,24,o,p,u,v,d
p,f,y,y,f,f,f,c,b,h,e,b,253,k,k,b,n,p,w,23,o,l,h,y,d
e,x,s,w,t,a,f,w,n,n,t,b,141,s,s,w,w,p,w,28,o,p,u,v,d
e,f,f,n,t,n,f,c,b,n,t,b,456,s,s,p,w,p,w,25,o,p,n,v,d
p,x,y,e,f,s,f,c,n,b,t,?,457,s,s,p,p,p,w,26,o,e,w,v,l
e,x,s,y,t,l,f,w,n,n,t,b,3,s,s,w,w,p,w,23,o,p,u,v,d
e,f,f,e,t,n,f,c,b,w,t,b,4,s,s,g,p,p,w,55,o,p,k,v,d
p,f,f,g,f,f,f,c,b,h,e,b,20,k,k,n,n,p,w,27,o,l,h,y,d
p,f,y,n,f,s,f,c,n,b,t,?,87,s,k,p,p,p,w,23,o,e,w,v,l
p,x,y,w,t,p,f,c,n,w,e,e,3,s,s,w,w,p,w,23,o,p,n,s,g
p,x,s,n,t,p,f,c,n,k,e,e,10,s,s,w,w,p,w,62,o,p,k,v,g
p,x,s,n,f,f,f,c,n,b,t,?,194,k,k,p,w,p,w,23,o,e,w,v,p
e,x,s,w,f,n,f,w,b,n,t,e,112,s,s,w,w,p,w,30,o,e,n,a,g
p,f,y,y,f,f,f,c,b,h,e,b,195,k,k,p,p,p,w,29,o,l,h,v,p
p,k,s,n,f,y,f,c,n,b,t,?,271,k,s,w,p,p,w,24,o,e,w,v,l
p,f,f,g,f,f,f,c,b,h,e,b,123,k,k,p,n,p,w,23,o,l,h,y,g
e,x,f,n,t,n,f,c,b,u,t,b,562,s,s,p,p,p,w,23,o,p,n,v,d
e,f,f,w,f,n,f,w,b,p,t,e,224,s,s,w,w,p,w,23,o,e,k,s,g
e,x,y,n,t,n,f,c,b,p,t,b,1,s,s,g,p,p,w,79,o,p,k,v,d
e,f,y,p,t,n,f,c,b,e,e,?,220,s,s,e,w,p,w,42,t,e,w,c,w
p,f,y,e,f,y,f,c,n,b,t,?,144,k,s,p,w,p,w,24,o,e,w,v,l
e,f,y,g,t,n,f,c,b,w,t,b,243,s,s,g,g,p,w,25,o,p,n,v,d
p,x,f,y,f,f,f,c,b,h,e,b,197,k,k,b,p,p,w,39,o,l,h,v,d
p,f,s,w,t,f,f,c,b,p,t,b,34,s,s,w,w,p,w,53,o,p,h,v,u
e,x,y,g,t,n,f,c,b,n,t,b,374,s,s,g,p,p,w,27,o,p,n,v,d
e,x,f,n,t,n,f,c,b,u,t,b,4,s,s,g,g,p,w,34,o,p,k,v,d
p,k,s,n,f,s,f,c,n,b,t,?,139,s,k,w,w,p,w,23,o,e,w,v,p
p,f,f,y,f,f,f,c,b,p,e,b,347,k,k,p,n,p,w,23,o,l,h,v,d
e,x,s,n,f,n,f,c,b,w,e,b,310,y,y,n,n,p,w,23,t,p,w,y,d
e,f,s,w,f,n,f,w,b,n,t,e,248,s,s,w,w,p,w,38,o,e,k,s,g
e,b,s,w,f,n,f,w,b,g,e,?,267,k,s,w,w,p,w,70,t,p,w,n,g
p,f,s,e,f,s,f,c,n,b,t,?,226,k,k,p,p,p,w,23,o,e,w,v,l
e,x,y,y,t,a,f,c,b,g,e,c,78,s,s,w,w,p,w,25,o,p,n,n,g
e,b,s,g,f,n,f,w,b,p,e,?,518,s,k,w,w,p,w,23,t,p,w,s,g
e,b,s,y,t,l,f,c,b,k,e,c,99,s,s,w,w,p,w,17,o,p,k,s,g
e,f,f,e,t,n,f,c,b,p,t,b,38,s,s,w,p,p,w,26,o,p,n,y,d
p,f,f,g,f,f,f,c,b,g,e,b,152,k,k,n,b,p,w,23,o,l,h,v,d
e,x,y,n,t,n,f,c,b,u,t,b,52,s,s,g,p,p,w,34,o,p,n,y,d
e,f,s,g,f,n,f,w,b,h,t,e,3500,f,s,w,w,p,w,24,o,e,n,s,g
p,f,y,n,f,y,f,c,n,b,t,?,354,s,s,p,w,p,w,23,o,e,w,v,l
p,f,y,y,f,f,f,c,b,p,e,b,40,k,k,b,p,p,w,35,o,l,h,v,g
e,x,y,n,t,n,f,c,b,p,t,b,6,s,s,p,w,p,w,47,o,p,n,y,d
e,f,s,y,t,l,f,w,n,n,t,b,7,s,s,w,w,p,w,23,o,p,u,v,d
p,b,y,p,t,n,f,c,b,w,e,b,32,s,s,w,w,p,w,23,t,p,r,v,g
p,x,f,g,f,f,f,c,b,g,e,b,585,k,k,p,n,p,w,29,o,l,h,y,p
p,x,s,e,f,s,f,c,n,b,t,?,3,s,k,w,w,p,w,24,o,e,w,v,d
p,k,s,e,f,f,f,c,n,b,t,?,163,s,k,w,w,p,w,24,o,e,w,v,p
e,x,f,e,t,n,f,c,b,n,t,b,440,s,s,p,w,p,w,29,o,p,k,v,d
p,f,f,y,f,f,f,c,b,p,e,b,69,k,k,n,n,p,w,36,o,l,h,y,d
p,f,y,e,f,y,f,c,n,b,t,?,109,s,s,w,p,p,w,76,o,e,w,v,d
e,b,s,n,f,n,a,c,b,y,e,?,144,s,s,o,o,p,o,62,o,p,y,c,l
p,f,y,p,t,n,f,c,b,r,e,b,173,s,s,w,w,p,w,44,t,p,r,v,g
e,f,f,g,f,n,f,c,n,p,e,e,52,s,s,w,w,p,w,23,o,p,n,y,u
e,x,s,w,f,n,f,w,b,w,e,?,228,s,k,w,w,p,w,24,t,p,w,s,g
p,k,y,n,f,y,f,c,n,b,t,?,284,s,s,p,p,p,w,29,o,e,w,v,d
e,f,f,n,t,n,f,c,b,p,t,b,26,s,s,w,g,p,w,27,o,p,k,y,d
p,k,y,e,f,s,f,c,n,b,t,?,14,s,k,w,p,p,w,30,o,e,w,v,p
p,k,s,n,f,f,f,c,n,b,t,?,511,s,s,p,w,p,w,54,o,e,w,v,p
p,x,f,g,f,c,f,w,n,n,e,b,23,s,s,w,w,p,w,28,o,p,n,s,d
e,x,f,e,t,n,f,c,b,n,t,b,76,s,s,g,g,p,w,29,o,p,k,y,d
e,b,f,g,f,n,f,w,b,g,e,?,183,s,s,w,w,p,w,45,t,p,w,s,g
p,k,y,n,f,f,f,c,n,b,t,?,104,s,s,w,w,p,w,30,o,e,w,v,d
p,k,y,e,f,s,f,c,n,b,t,?,251,k,s,p,p,p,w,36,o,e,w,v,p
e,f,f,n,f,n,f,c,n,k,e,e,51,s,s,w,w,p,w,42,o,p,n,y,u
p,f,s,n,f,s,f,c,n,b,t,?,40,k,k,p,p,p,w,27,o,e,w,v,d
e,f,y,g,t,n,f,c,b,n,t,b,29,s,s,g,g,p,w,23,o,p,n,y,d
p,k,y,e,f,y,f,c,n,b,t,?,16,s,s,w,p,p,w,37,o,e,w,v,p
e,f,f,n,f,n,f,w,b,n,t,e,203,s,f,w,w,p,w,43,o,e,k,s,g
e,f,f,n,f,n,f,w,b,h,t,e,2,s,s,w,w,p,w,0,o,e,k,s,g
e,f,y,n,t,n,f,c,b,w,t,b,6,s,s,p,p,p,w,28,o,p,k,v,d
e,f,y,e,t,n,f,c,b,p,t,b,124,s,s,g,w,p,w,23,o,p,k,v,d
e,s,f,g,f,n,f,c,n,p,e,e,31,s,s,w,w,p,w,33,o,p,n,v,u
p,x,s,e,f,s,f,c,n,b,t,?,6,k,k,p,w,p,w,24,o,e,w,v,d
e,x,f,n,t,n,f,c,b,w,t,b,38,s,s,w,g,p,w,25,o,p,k,y,d
p,x,s,g,t,f,f,c,b,h,t,b,4,s,f,w,w,p,w,26,o,p,h,v,u
e,f,f,g,t,n,f,c,b,p,t,b,350,s,s,p,p,p,w,48,o,p,n,y,d
p,x,s,n,t,p,f,c,n,k,e,e,72,s,s,w,w,p,w,40,o,p,n,s,g
p,x,f,p,f,c,f,c,n,g,e,b,197,s,s,w,w,p,w,47,o,p,k,v,d
p,f,f,y,f,f,f,c,b,p,e,b,7,k,k,n,b,p,w,42,o,l,h,y,d
p,f,f,y,f,f,f,c,b,g,e,b,115,k,k,p,n,p,w,59,o,l,h,v,d
e,b,s,w,t,l,f,c,b,k,e,c,11,s,s,w,w,p,w,25,o,p,k,s,g
p,f,s,n,f,y,f,c,n,b,t,?,590,s,s,p,p,p,w,39,o,e,w,v,p
p,f,s,e,f,f,f,c,n,b,t,?,374,s,s,p,w,p,w,24,o,e,w,v,d
p,f,y,y,f,f,f,c,b,h,e,b,100,k,k,b,b,p,w,58,o,l,h,y,p
e,f,s,n,f,n,f,w,b,p,t,e,267,s,f,w,w,p,w,32,o,e,n,a,g
e,k,s,n,f,n,a,c,b,o,e,?,36,s,s,o,o,p,o,25,o,p,o,c,l
p,x,f,g,f,f,f,c,b,p,e,b,24,k,k,b,b,p,w,23,o,l,h,v,g
e,b,y,w,t,a,f,c,b,g,e,c,1,s,s,w,w,p,w,58,o,p,k,s,m
e,b,f,g,f,n,f,w,b,w,e,?,554,s,s,w,w,p,w,23,t,p,w,s,g
e,f,f,g,t,n,f,c,b,u,t,b,88,s,s,w,p,p,w,23,o,p,n,v,d
p,x,s,g,f,c,f,c,n,p,e,b,26,s,s,w,w,p,w,27,o,p,n,v,d
e,x,y,u,f,n,f,c,n,p,e,?,72,s,f,w,w,p,w,32,o,f,h,v,d
e,x,y,w,t,l,f,c,b,k,e,c,304,s,s,w,w,p,w,23,o,p,n,n,m
p,k,s,e,f,s,f,c,n,b,t,?,5,s,k,p,p,p,w,23,o,e,w,v,d
e,k,f,g,f,n,f,w,b,p,e,?,169,s,k,w,w,p,w,30,t,p,w,s,g
p,f,s,b,t,f,f,c,b,w,t,b,172,s,f,w,w,p,w,30,o,p,h,v,g
e,k,s,n,f,n,a,c,b,y,e,?,4,s,s,o,o,p,n,23,o,p,y,c,l
p,f,y,g,f,f,f,c,b,g,e,b,400,k,k,p,p,p,w,26,o,l,h,y,g
e,f,f,w,t,a,f,w,n,n,t,b,182,s,s,w,w,p,w,25,o,p,u,v,d
e,x,y,n,t,n,f,c,b,u,t,b,277,s,s,w,g,p,w,56,o,p,k,y,d
p,x,s,w,t,p,f,c,n,n,e,e,57,s,s,w,w,p,w,25,o,p,k,v,u
e,f,y,n,t,n,f,c,b,p,t,b,27,s,s,p,p,p,w,23,o,p,k,y,d
e,x,s,n,f,n,a,c,b,y,e,?,286,s,s,o,o,p,o,34,o,p,b,c,l
p,k,s,n,f,s,f,c,n,b,t,?,157,k,s,p,p,p,w,68,o,e,w,v,l
e,x,s,p,t,n,f,c,b,w,e,?,445,s,s,w,e,p,w,34,t,e,w,c,w
e,f,f,n,t,n,f,c,b,p,t,b,358,s,s,w,g,p,w,29,o,p,n,v,d
p,x,f,p,f,c,f,c,n,g,e,b,32,s,s,w,w,p,w,23,o,p,n,s,d
e,f,f,e,t,n,f,c,b,p,t,b,359,s,s,p,p,p,w,30,o,p,k,v,d
e,x,y,e,t,n,f,c,b,n,t,b,3500,s,s,g,g,p,w,23,o,p,n,y,d
p,f,s,n,f,y,f,c,n,b,t,?,199,k,s,w,p,p,w,30,o,e,w,v,d
e,x,y,u,f,n,f,c,n,u,e,?,31,s,f,w,w,p,w,83,o,f,h,y,d
p,x,y,w,t,p,f,c,n,w,e,e,69,s,s,w,w,p,w,23,o,p,k,v,u
p,k,y,e,f,s,f,c,n,b,t,?,35,k,k,p,p,p,w,26,o,e,w,v,l
e,f,f,n,f,n,f,w,b,p,t,e,137,f,s,w,w,p,w,33,o,e,n,a,g
e,x,f,n,t,n,f,c,b,u,t,b,285,s,s,p,p,p,w,23,o,p,k,v,d
p,f,f,y,f,f,f,c,b,p,e,b,232,k,k,b,b,p,w,23,o,l,h,y,p
p,x,s,n,t,p,f,c,n,p,e,e,84,s,s,w,w,p,w,23,o,p,n,v,u
p,x,y,n,f,s,f,c,n,b,t,?,3500,k,k,p,w,p,w,23,o,e,w,v,l
e,f,f,n,f,n,f,w,b,p,t,e,4,s,f,w,w,p,w,28,o,e,k,a,g
p,x,s,n,f,s,f,c,n,b,t,?,339,k,k,w,p,p,w,28,o,e,w,v,p
p,k,s,e,f,y,f,c,n,b,t,?,28,s,k,p,w,p,w,23,o,e,w,v,l
e,x,f,n,f,n,f,w,b,h,t,e,150,s,s,w,w,p,w,34,o,e,n,a,g
e,x,f,n,f,n,f,w,b,n,t,e,210,f,s,w,w,p,w,24,o,e,k,a,g
e,x,s,n,f,n,a,c,b,y,e,?,246,s,s,o,o,p,n,45,o,p,o,c,l
p,x,f,w,f,c,f,c,n,u,e,b,190,s,s,w,w,p,w,24,o,p,n,v,d
e,f,s,n,f,n,a,c,b,o,e,?,215,s,s,o,o,p,o,23,o,p,b,v,l
p,x,f,y,f,f,f,c,b,g,e,b,117,k,k,p,b,p,w,23,o,l,h,v,d
e,x,f,g,f,n,f,w,b,h,t,e,358,s,f,w,w,p,w,54,o,e,k,s,g
e,f,y,g,t,n,f,c,b,p,t,b,358,s,s,p,p,p,w,57,o,p,k,y,d
e,x,f,e,t,n,f,c,b,w,t,b,25,s,s,g,w,p,w,58,o,p,n,y,d
e,b,s,y,t,a,f,c,b,n,e,c,3,s,s,w,w,p,w,23,o,p,n,s,g
e,f,y,g,t,n,f,c,b,n,t,b,314,s,s,p,w,p,w,39,o,p,n,v,d
e,x,f,g,f,n,f,w,b,w,e,?,110,k,s,w,w,p,w,25,t,p,w,n,g
p,f,y,y,f,f,f,c,b,g,e,b,349,k,k,n,b,p,w,24,o,l,h,y,g
e,x,f,n,f,n,f,w,b,n,t,e,96,f,s,w,w,p,w,32,o,e,n,a,g
e,f,f,g,t,n,f,c,b,n,t,b,187,s,s,w,w,p,w,44,o,p,n,y,d
p,f,s,w,t,f,f,c,b,w,t,b,382,f,s,w,w,p,w,23,o,p,h,s,u
p,x,s,n,f,f,f,c,n,b,t,?,296,s,s,p,w,p,w,57,o,e,w,v,p
p,x,y,g,f,f,f,c,b,g,e,b,247,k,k,b,p,p,w,27,o,l,h,y,g
e,b,s,y,t,l,f,c,b,k,e,c,118,s,s,w,w,p,w,0,o,p,n,n,g
p,k,s,n,f,y,f,c,n,b,t,?,86,s,s,p,w,p,w,23,o,e,w,v,p
e,f,y,e,t,n,f,c,b,w,t,b,368,s,s,w,p,p,w,23,o,p,k,y,d
p,k,y,e,f,y,f,c,n,b,t,?,196,k,s,w,w,p,w,23,o,e,w,v,p
p,x,f,y,f,f,f,c,b,p,e,b,290,k,k,b,b,p,w,27,o,l,h,v,g
e,f,s,n,f,n,f,w,b,n,t,e,120,f,s,w,w,p,w,42,o,e,n,s,g
p,f,s,e,f,y,f,c,n,b,t,?,214,s,k,p,w,p,w,45,o,e,w,v,d
e,x,f,g,t,n,f,c,b,n,t,b,157,s,s,g,p,p,w,34,o,p,k,y,d
e,x,y,n,t,a,f,c,b,n,e,r,19,s,y,w,w,p,w,39,o,p,k,y,p
p,f,y,n,f,s,f,c,n,b,t,?,130,k,k,w,w,p,w,49,o,e,w,v,p
e,f,f,n,f,n,f,c,n,k,e,e,6,s,s,w,w,p,w,23,o,p,n,v,u
p,x,y,n,t,p,f,c,n,k,e,e,108,s,s,w,w,p,w,38,o,p,n,s,g
e,f,y,n,t,a,f,c,b,n,e,r,113,s,y,w,w,p,w,34,o,p,n,s,p
e,k,s,n,f,n,a,c,b,n,e,?,571,s,s,o,o,p,n,23,o,p,y,v,l
p,x,s,n,f,s,f,c,n,b,t,?,28,k,k,w,p,p,w,35,o,e,w,v,d
e,x,s,y,t,l,f,c,b,k,e,c,61,s,s,w,w,p,w,31,o,p,k,n,g
e,x,f,w,f,n,f,w,b,p,t,e,259,f,s,w,w,p,w,34,o,e,k,s,g
p,k,s,n,f,s,f,c,n,b,t,?,418,s,k,p,p,p,w,23,o,e,w,v,l
e,x,f,g,t,n,f,c,b,u,t,b,99,s,s,w,w,p,w,40,o,p,n,y,d
e,f,f,g,t,n,f,c,b,p,t,b,250,s,s,w,g,p,w,34,o,p,k,v,d
p,f,y,g,f,f,f,c,b,g,e,b,145,k,k,p,p,p,w,44,o,l,h,y,d
e,b,s,y,t,l,f,c,b,k,e,c,67,s,s,w,w,p,w,80,o,p,k,n,g
e,x,s,p,t,n,f,c,b,w,e,?,362,s,s,w,w,p,w,23,t,e,w,c,w
p,k,y,e,f,y,f,c,n,b,t,?,185,k,k,w,w,p,w,26,o,e,w,v,p
p,x,y,w,t,p,f,c,n,n,e,e,10,s,s,w,w,p,w,75,o,p,k,s,g
p,b,f,n,f,n,f,c,n,w,e,?,90,k,y,w,n,p,w,61,o,e,w,v,d
e,x,y,y,t,l,f,c,b,w,e,r,1,s,y,w,w,p,w,22,o,p,k,s,p
p,x,y,n,f,f,f,c,n,b,t,?,188,k,k,p,w,p,w,27,o,e,w,v,d
e,f,f,e,t,n,f,c,b,p,t,b,191,s,s,g,w,p,w,23,o,p,n,y,d
e,x,s,y,t,l,f,c,b,k,e,c,220,s,s,w,w,p,w,66,o,p,n,s,g
p,f,y,g,f,f,f,c,b,g,e,b,233,k,k,b,n,p,w,23,o,l,h,y,p
e,f,f,e,t,n,f,c,b,p,t,b,388,s,s,p,p,p,w,25,o,p,n,v,d
e,x,y,e,t,n,f,c,b,w,t,b,116,s,s,g,w,p,w,43,o,p,k,y,d
p,k,y,e,f,y,f,c,n,b,t,?,18,k,k,w,w,p,w,41,o,e,w,v,l
p,f,s,e,f,f,f,c,n,b,t,?,3,s,s,w,p,p,w,32,o,e,w,v,p
p,k,y,e,f,s,f,c,n,b,t,?,202,k,s,w,p,p,w,26,o,e,w,v,p
